DateTime,Source,Air Temp,Humidity,Soil Moisture
"April 8, 2021 at 06:51AM",Garden_Data2,13.3,84,807
"April 8, 2021 at 06:58AM",Garden_Data2,13.3,82,801
"April 8, 2021 at 07:13AM",Garden_Data2,13.3,91,809
"April 8, 2021 at 07:27AM",Garden_Data2,13.4,84,811
"April 8, 2021 at 07:42AM",Garden_Data2,13.4,84,810
"April 8, 2021 at 07:56AM",Garden_Data2,13.6,81,811
"April 8, 2021 at 08:11AM",Garden_Data2,14,83,811
"April 8, 2021 at 08:25AM",Garden_Data2,14.4,81,811
"April 8, 2021 at 08:40AM",Garden_Data2,15.2,78,811
"April 8, 2021 at 08:55AM",Garden_Data2,16.4,76,811
"April 8, 2021 at 09:09AM",Garden_Data2,17.4,72,811
"April 8, 2021 at 09:24AM",Garden_Data2,18.6,74,811
"April 8, 2021 at 09:38AM",Garden_Data2,20.1,72,809
"April 8, 2021 at 09:52AM",Garden_Data2,21.3,69,808
"April 8, 2021 at 09:52AM",Garden_Data2,21.3,69,808
"April 8, 2021 at 10:07AM",Garden_Data2,22.6,71,807
"April 8, 2021 at 10:22AM",Garden_Data2,22.6,62,807
"April 8, 2021 at 10:36AM",Garden_Data2,22.7,59,806
"April 8, 2021 at 10:51AM",Garden_Data2,23.4,56,806
"April 8, 2021 at 11:05AM",Garden_Data2,25.3,56,805
"April 8, 2021 at 11:20AM",Garden_Data2,26.9,56,804
"April 8, 2021 at 11:35AM",Garden_Data2,28.3,51,802
"April 8, 2021 at 11:50AM",Garden_Data2,31.2,50,802
"April 8, 2021 at 12:04PM",Garden_Data2,33.2,43,800
"April 8, 2021 at 12:19PM",Garden_Data2,34.5,38,797
"April 8, 2021 at 12:33PM",Garden_Data2,35.5,37,795
"April 8, 2021 at 12:48PM",Garden_Data2,38,27,793
"April 8, 2021 at 01:02PM",Garden_Data2,36.7,19,793
"April 8, 2021 at 01:17PM",Garden_Data2,36.5,21,792
"April 8, 2021 at 01:31PM",Garden_Data2,34.5,20,792
"April 8, 2021 at 01:46PM",Garden_Data2,32.5,24,792
"April 8, 2021 at 02:01PM",Garden_Data2,34.6,21,792
"April 8, 2021 at 02:15PM",Garden_Data2,36.3,20,788
"April 8, 2021 at 02:30PM",Garden_Data2,36.4,19,788
