Time,Source,Soil Temp,Light
"April 8, 2021 at 06:18AM",Garden_Data,14.06,0
"April 8, 2021 at 06:32AM",Garden_Data,13.94,0
"April 8, 2021 at 06:47AM",Garden_Data,13.81,3
"April 8, 2021 at 06:58AM",Garden_Data,13.75,3
"April 8, 2021 at 07:13AM",Garden_Data,13.69,48
"April 8, 2021 at 07:27AM",Garden_Data,13.63,72
"April 8, 2021 at 07:42AM",Garden_Data,13.63,102
"April 8, 2021 at 07:56AM",Garden_Data,13.63,125
"April 8, 2021 at 08:11AM",Garden_Data,13.69,144
"April 8, 2021 at 08:25AM",Garden_Data,13.75,163
"April 8, 2021 at 08:40AM",Garden_Data,13.94,242
"April 8, 2021 at 08:54AM",Garden_Data,14.19,214
"April 8, 2021 at 09:09AM",Garden_Data,14.56,224
"April 8, 2021 at 09:23AM",Garden_Data,15.19,257
"April 8, 2021 at 09:38AM",Garden_Data,15.63,254
"April 8, 2021 at 09:52AM",Garden_Data,16.38,418
"April 8, 2021 at 10:07AM",Garden_Data,16.69,377
"April 8, 2021 at 10:21AM",Garden_Data,16.88,318
"April 8, 2021 at 10:36AM",Garden_Data,17.13,501
"April 8, 2021 at 10:50AM",Garden_Data,17.63,660
"April 8, 2021 at 11:05AM",Garden_Data,18.13,550
"April 8, 2021 at 11:19AM",Garden_Data,18.63,627
"April 8, 2021 at 11:34AM",Garden_Data,19.31,656
"April 8, 2021 at 11:48AM",Garden_Data,20.06,555
"April 8, 2021 at 12:03PM",Garden_Data,20.94,565
"April 8, 2021 at 12:18PM",Garden_Data,22.38,574
"April 8, 2021 at 12:32PM",Garden_Data,24,570
"April 8, 2021 at 12:47PM",Garden_Data,24.63,518
"April 8, 2021 at 01:01PM",Garden_Data,25,544
"April 8, 2021 at 01:16PM",Garden_Data,24.75,444
"April 8, 2021 at 01:30PM",Garden_Data,24.25,468
"April 8, 2021 at 01:44PM",Garden_Data,24.38,570
"April 8, 2021 at 01:59PM",Garden_Data,24.56,739
"April 8, 2021 at 02:14PM",Garden_Data,24.81,838
"April 8, 2021 at 02:28PM",Garden_Data,24.81,687
"April 8, 2021 at 02:42PM",Garden_Data,24.56,456
"April 8, 2021 at 02:57PM",Garden_Data,24.5,402
"April 8, 2021 at 03:11PM",Garden_Data,24.19,336
"April 8, 2021 at 03:25PM",Garden_Data,24,350
"April 8, 2021 at 03:40PM",Garden_Data,23.88,384
"April 8, 2021 at 03:54PM",Garden_Data,23.88,429
"April 8, 2021 at 04:09PM",Garden_Data,23.81,452
"April 8, 2021 at 04:23PM",Garden_Data,23.75,377
"April 8, 2021 at 04:38PM",Garden_Data,23.63,318
"April 8, 2021 at 04:52PM",Garden_Data,23.5,330
"April 8, 2021 at 05:07PM",Garden_Data,23.5,317
"April 8, 2021 at 05:21PM",Garden_Data,23.31,265
"April 8, 2021 at 05:35PM",Garden_Data,23,34
"April 8, 2021 at 05:50PM",Garden_Data,22.81,46
"April 8, 2021 at 06:04PM",Garden_Data,22.75,28
"April 8, 2021 at 06:19PM",Garden_Data,22.69,22
"April 8, 2021 at 06:33PM",Garden_Data,22.63,25
"April 8, 2021 at 06:48PM",Garden_Data,22.63,17
"April 8, 2021 at 07:02PM",Garden_Data,22.56,14
"April 8, 2021 at 07:17PM",Garden_Data,22.5,15
"April 8, 2021 at 07:31PM",Garden_Data,22.5,14
"April 8, 2021 at 07:46PM",Garden_Data,22.5,7
"April 8, 2021 at 08:00PM",Garden_Data,22.44,4
"April 8, 2021 at 08:15PM",Garden_Data,22.44,4
"April 8, 2021 at 08:29PM",Garden_Data,22.44,4
"April 8, 2021 at 08:44PM",Garden_Data,22.44,4
"April 8, 2021 at 08:58PM",Garden_Data,22.44,4
"April 8, 2021 at 09:13PM",Garden_Data,22.44,4
"April 8, 2021 at 09:27PM",Garden_Data,22.5,4
"April 8, 2021 at 09:42PM",Garden_Data,22.44,4
"April 8, 2021 at 09:56PM",Garden_Data,22.44,4
"April 8, 2021 at 10:10PM",Garden_Data,22.38,4
"April 8, 2021 at 10:17PM",Garden_Data,22.38,3
"April 8, 2021 at 10:31PM",Garden_Data,22.31,0
"April 8, 2021 at 10:46PM",Garden_Data,22.19,0
"April 8, 2021 at 11:00PM",Garden_Data,22.19,0
"April 8, 2021 at 11:15PM",Garden_Data,22.06,0
"April 8, 2021 at 11:29PM",Garden_Data,22,0
"April 8, 2021 at 11:44PM",Garden_Data,21.94,0
"April 8, 2021 at 11:58PM",Garden_Data,21.88,0
"April 9, 2021 at 12:13AM",Garden_Data,21.75,0
"April 9, 2021 at 12:27AM",Garden_Data,21.63,0
"April 9, 2021 at 12:42AM",Garden_Data,21.63,0
"April 9, 2021 at 12:56AM",Garden_Data,21.56,0
"April 9, 2021 at 01:11AM",Garden_Data,21.44,0
"April 9, 2021 at 01:25AM",Garden_Data,21.25,0
"April 9, 2021 at 01:40AM",Garden_Data,21.13,0
"April 9, 2021 at 01:54AM",Garden_Data,21,0
"April 9, 2021 at 02:08AM",Garden_Data,20.94,0
"April 9, 2021 at 02:23AM",Garden_Data,20.81,0
"April 9, 2021 at 02:37AM",Garden_Data,20.69,0
"April 9, 2021 at 02:52AM",Garden_Data,20.63,0
"April 9, 2021 at 03:06AM",Garden_Data,20.5,0
"April 9, 2021 at 03:21AM",Garden_Data,20.44,0
"April 9, 2021 at 03:35AM",Garden_Data,20.31,0
"April 9, 2021 at 03:50AM",Garden_Data,20.25,0
"April 9, 2021 at 04:04AM",Garden_Data,20.13,0
"April 9, 2021 at 04:19AM",Garden_Data,20.06,0
"April 9, 2021 at 04:33AM",Garden_Data,20,0
"April 9, 2021 at 04:48AM",Garden_Data,19.88,0
"April 9, 2021 at 05:02AM",Garden_Data,19.81,0
"April 9, 2021 at 05:16AM",Garden_Data,19.75,0
"April 9, 2021 at 05:31AM",Garden_Data,19.69,0
"April 9, 2021 at 05:45AM",Garden_Data,19.63,0
"April 9, 2021 at 06:00AM",Garden_Data,19.56,0
"April 9, 2021 at 06:14AM",Garden_Data,19.44,0
"April 9, 2021 at 06:29AM",Garden_Data,19.38,0
"April 9, 2021 at 06:43AM",Garden_Data,19.38,0
"April 9, 2021 at 06:58AM",Garden_Data,19.31,7
"April 9, 2021 at 07:12AM",Garden_Data,19.25,19
"April 9, 2021 at 07:27AM",Garden_Data,19.19,30
"April 9, 2021 at 07:41AM",Garden_Data,19.19,40
"April 9, 2021 at 07:56AM",Garden_Data,19.19,51
"April 9, 2021 at 08:10AM",Garden_Data,19.13,55
"April 9, 2021 at 08:24AM",Garden_Data,19.13,58
"April 9, 2021 at 08:39AM",Garden_Data,19.13,76
"April 9, 2021 at 08:53AM",Garden_Data,19.19,161
"April 9, 2021 at 09:08AM",Garden_Data,19.25,341
"April 9, 2021 at 09:22AM",Garden_Data,19.44,188
"April 9, 2021 at 09:37AM",Garden_Data,19.56,237
"April 9, 2021 at 09:52AM",Garden_Data,19.69,352
"April 9, 2021 at 10:06AM",Garden_Data,19.81,234
"April 9, 2021 at 10:20AM",Garden_Data,19.81,159
"April 9, 2021 at 10:35AM",Garden_Data,19.81,113
"April 9, 2021 at 10:49AM",Garden_Data,20.13,120
"April 9, 2021 at 11:04AM",Garden_Data,20.19,146
"April 9, 2021 at 11:18AM",Garden_Data,20.19,117
"April 9, 2021 at 11:33AM",Garden_Data,20.25,126
"April 9, 2021 at 11:47AM",Garden_Data,20.38,133
"April 9, 2021 at 12:02PM",Garden_Data,20.5,136
"April 9, 2021 at 12:16PM",Garden_Data,20.63,146
"April 9, 2021 at 12:31PM",Garden_Data,20.81,166
"April 9, 2021 at 12:45PM",Garden_Data,20.94,169
"April 9, 2021 at 01:00PM",Garden_Data,21.06,195
"April 9, 2021 at 01:14PM",Garden_Data,21.19,160
